_key,_from,_to,predicate,init,access,usage,branches.0,branches.1,branches.2,branches.3,branches.4,branches.5,branches.6,branches.7,branches.8,branches.9,branches.10,branches.11,branches.12,branches.13,branches.14
XXX,terms/:class:term,terms/:class:term:namespace,terms/:predicate:class-of,,,,,terms/:class:term:namespace,,,,,,,,,,,,,
XXX,terms/:class:term,terms/:class:term:template,terms/:predicate:class-of,,,,,,terms/:class:term:template,,,,,,,,,,,,
XXX,terms/:class:term,terms/:class:term:enumeration,terms/:predicate:class-of,,,,,,,terms/:class:term:enumeration,,,,,,,,,,,
XXX,terms/:class:term,terms/:class:term:selection,terms/:predicate:class-of,,,,,,,,terms/:class:term:selection,,,,,,,,,,
XXX,terms/:class:term,terms/:class:term:category,terms/:predicate:class-of,,,,,,,,,terms/:class:term:category,,,,,,,,,
XXX,terms/:class:term,terms/:class:term:collection,terms/:predicate:class-of,,,,,,,,,,terms/:class:term:collection,,,,,,,,
XXX,terms/:class:term,terms/:class:term:instance,terms/:predicate:class-of,,,,,,,,,,,terms/:class:term:instance,,,,,,,
XXX,terms/:class:term,terms/:class:term:type,terms/:predicate:class-of,,,,,,,,,,,,terms/:class:term:type,,,,,,
XXX,terms/:class:term,terms/:class:term:type:text,terms/:predicate:class-of,,,,,,,,,,,,,terms/:class:term:type:text,,,,,
XXX,terms/:class:term,terms/:class:term:type:quant,terms/:predicate:class-of,,,,,,,,,,,,,,terms/:class:term:type:quant,,,,
XXX,terms/:class:term,terms/:class:term:predicate,terms/:predicate:class-of,,,,,,,,,,,,,,,terms/:class:term:predicate,,,
XXX,terms/:class:term,terms/:class:term:class,terms/:predicate:class-of,,,,,,,,,,,,,,,,terms/:class:term:class,,
XXX,terms/:class:term,terms/:class:term:struct,terms/:predicate:class-of,,,,,,,,,,,,,,,,,terms/:class:term:struct,
XXX,terms/:class:term,terms/:class:term:form,terms/:predicate:class-of,,,,,,,,,,,,,,,,,,terms/:class:term:form
XXX,descriptors/_key,terms/:class:term,terms/:predicate:property-of,:id:gid,:state:access:protected,:state:usage:required,terms/:class:term,terms/:class:term:namespace,terms/:class:term:template,terms/:class:term:enumeration,terms/:class:term:selection,terms/:class:term:category,terms/:class:term:collection,terms/:class:term:instance,terms/:class:term:type,terms/:class:term:type:text,terms/:class:term:type:quant,terms/:class:term:predicate,terms/:class:term:class,terms/:class:term:struct,terms/:class:term:form
XXX,descriptors/nid,terms/:class:term,terms/:predicate:property-of,,:state:access:protected,,terms/:class:term,terms/:class:term:namespace,terms/:class:term:template,terms/:class:term:enumeration,terms/:class:term:selection,terms/:class:term:category,terms/:class:term:collection,terms/:class:term:instance,terms/:class:term:type,terms/:class:term:type:text,terms/:class:term:type:quant,terms/:class:term:predicate,terms/:class:term:class,terms/:class:term:struct,terms/:class:term:form
XXX,descriptors/lid,terms/:class:term,terms/:predicate:property-of,,:state:access:protected,:state:usage:required,terms/:class:term,terms/:class:term:namespace,terms/:class:term:template,terms/:class:term:enumeration,terms/:class:term:selection,terms/:class:term:category,terms/:class:term:collection,terms/:class:term:instance,terms/:class:term:type,terms/:class:term:type:text,terms/:class:term:type:quant,terms/:class:term:predicate,terms/:class:term:class,terms/:class:term:struct,terms/:class:term:form
XXX,descriptors/gid,terms/:class:term,terms/:predicate:property-of,,:state:access:protected,:state:usage:required,terms/:class:term,terms/:class:term:namespace,terms/:class:term:template,terms/:class:term:enumeration,terms/:class:term:selection,terms/:class:term:category,terms/:class:term:collection,terms/:class:term:instance,terms/:class:term:type,terms/:class:term:type:text,terms/:class:term:type:quant,terms/:class:term:predicate,terms/:class:term:class,terms/:class:term:struct,terms/:class:term:form
XXX,descriptors/var,terms/:class:term,terms/:predicate:property-of,,:state:access:protected,:state:usage:required,terms/:class:term,terms/:class:term:namespace,terms/:class:term:template,terms/:class:term:enumeration,terms/:class:term:selection,terms/:class:term:category,terms/:class:term:collection,terms/:class:term:instance,terms/:class:term:type,terms/:class:term:type:text,terms/:class:term:type:quant,terms/:class:term:predicate,terms/:class:term:class,terms/:class:term:struct,terms/:class:term:form
XXX,descriptors/deploy,terms/:class:term,terms/:predicate:property-of,,:state:access:protected,:state:usage:required,terms/:class:term,terms/:class:term:namespace,terms/:class:term:template,terms/:class:term:enumeration,terms/:class:term:selection,terms/:class:term:category,terms/:class:term:collection,terms/:class:term:instance,terms/:class:term:type,terms/:class:term:type:text,terms/:class:term:type:quant,terms/:class:term:predicate,terms/:class:term:class,terms/:class:term:struct,terms/:class:term:form
XXX,descriptors/label,terms/:class:term,terms/:predicate:property-of,,,:state:usage:required,terms/:class:term,terms/:class:term:namespace,terms/:class:term:template,terms/:class:term:enumeration,terms/:class:term:selection,terms/:class:term:category,terms/:class:term:collection,terms/:class:term:instance,terms/:class:term:type,terms/:class:term:type:text,terms/:class:term:type:quant,terms/:class:term:predicate,terms/:class:term:class,terms/:class:term:struct,terms/:class:term:form
XXX,descriptors/definition,terms/:class:term,terms/:predicate:property-of,,,:state:usage:required,terms/:class:term,terms/:class:term:namespace,terms/:class:term:template,terms/:class:term:enumeration,terms/:class:term:selection,terms/:class:term:category,terms/:class:term:collection,terms/:class:term:instance,terms/:class:term:type,terms/:class:term:type:text,terms/:class:term:type:quant,terms/:class:term:predicate,terms/:class:term:class,terms/:class:term:struct,terms/:class:term:form
XXX,descriptors/store,terms/:class:term:collection,terms/:predicate:property-of,,:state:access:protected,:state:usage:required,,,,,,,terms/:class:term:collection,,,,,,,,
XXX,descriptors/collection,terms/:class:term:instance,terms/:predicate:property-of,,:state:access:protected,:state:usage:required,,,,,,,,terms/:class:term:instance,,,,,,,
XXX,descriptors/class,terms/:class:term:instance,terms/:predicate:property-of,,:state:access:protected,:state:usage:required,,,,,,,,terms/:class:term:instance,,,,,,,
XXX,descriptors/instance,terms/:class:term:type,terms/:predicate:property-of,,:state:access:protected,:state:usage:required,,,,,,,,,terms/:class:term:type,terms/:class:term:type,terms/:class:term:type,,,,
XXX,descriptors/instance,terms/:class:term:type:text,terms/:predicate:property-of,,:state:access:protected,:state:usage:required,,,,,,,,,,terms/:class:term:type:text,,,,,
XXX,descriptors/instance,terms/:class:term:type:quant,terms/:predicate:property-of,,:state:access:protected,:state:usage:required,,,,,,,,,,,terms/:class:term:type:quant,,,,
XXX,descriptors/traversal,terms/:class:term:predicate,terms/:predicate:property-of,,:state:access:protected,:state:usage:required,,,,,,,,,,,,terms/:class:term:predicate,,,
XXX,descriptors/interface,terms/:class:term:form,terms/:predicate:property-of,,:state:access:protected,:state:usage:required,,,,,,,,,,,,,,,terms/:class:term:form
XXX,descriptors/instance,terms/:class:term:form,terms/:predicate:property-of,,:state:access:protected,:state:usage:required,,,,,,,,,,,,,,,terms/:class:term:form